_id,時間軸コード,西暦（暦年）,和暦（暦年）,地域コード,地域,項目,数値,単位
130,1993000000,1993年,平成5年,26000,京都府,工芸農作物,4125,百万円
131,1993000000,1993年,平成5年,26000,京都府,種苗･苗木その他,1664,百万円
132,1993000000,1993年,平成5年,26000,京都府,養蚕,60,百万円
133,1993000000,1993年,平成5年,26000,京都府,畜産計,12347,百万円
134,1993000000,1993年,平成5年,26000,京都府,肉用牛,1363,百万円
135,1993000000,1993年,平成5年,26000,京都府,乳用牛,4320,百万円
136,1993000000,1993年,平成5年,26000,京都府,豚,1610,百万円
137,1993000000,1993年,平成5年,26000,京都府,鶏,4798,百万円
138,1993000000,1993年,平成5年,26000,京都府,その他畜産物,256,百万円
139,1993000000,1993年,平成5年,26000,京都府,加工農産物,2821,百万円
140,1993000000,1993年,平成5年,26000,京都府,生産農業所得,39349,百万円
141,1994000000,1994年,平成6年,26000,京都府,農業粗生産額,86609,百万円
142,1994000000,1994年,平成6年,26000,京都府,耕種計,71715,百万円
143,1994000000,1994年,平成6年,26000,京都府,米,36839,百万円
144,1994000000,1994年,平成6年,26000,京都府,麦類,42,百万円
145,1994000000,1994年,平成6年,26000,京都府,雑穀・豆類,1147,百万円
146,1994000000,1994年,平成6年,26000,京都府,いも類,1025,百万円
147,1994000000,1994年,平成6年,26000,京都府,野菜,23709,百万円
148,1994000000,1994年,平成6年,26000,京都府,果実,1640,百万円
149,1994000000,1994年,平成6年,26000,京都府,花き,1982,百万円
150,1994000000,1994年,平成6年,26000,京都府,工芸農作物,3832,百万円
151,1994000000,1994年,平成6年,26000,京都府,種苗･苗木その他,1499,百万円
152,1994000000,1994年,平成6年,26000,京都府,養蚕,33,百万円
153,1994000000,1994年,平成6年,26000,京都府,畜産計,12235,百万円
154,1994000000,1994年,平成6年,26000,京都府,肉用牛,1305,百万円
155,1994000000,1994年,平成6年,26000,京都府,乳用牛,4324,百万円
156,1994000000,1994年,平成6年,26000,京都府,豚,1608,百万円
157,1994000000,1994年,平成6年,26000,京都府,鶏,4762,百万円
158,1994000000,1994年,平成6年,26000,京都府,その他畜産物,236,百万円
159,1994000000,1994年,平成6年,26000,京都府,加工農産物,2626,百万円
160,1994000000,1994年,平成6年,26000,京都府,生産農業所得,37195,百万円
161,1995000000,1995年,平成7年,26000,京都府,農業粗生産額,80067,百万円
162,1995000000,1995年,平成7年,26000,京都府,耕種計,65256,百万円
163,1995000000,1995年,平成7年,26000,京都府,米,31313,百万円
164,1995000000,1995年,平成7年,26000,京都府,麦類,37,百万円
165,1995000000,1995年,平成7年,26000,京都府,雑穀・豆類,1468,百万円
166,1995000000,1995年,平成7年,26000,京都府,いも類,1054,百万円
167,1995000000,1995年,平成7年,26000,京都府,野菜,22431,百万円
168,1995000000,1995年,平成7年,26000,京都府,果実,1426,百万円
169,1995000000,1995年,平成7年,26000,京都府,花き,1972,百万円
170,1995000000,1995年,平成7年,26000,京都府,工芸農作物,3949,百万円
171,1995000000,1995年,平成7年,26000,京都府,種苗･苗木その他,1606,百万円
172,1995000000,1995年,平成7年,26000,京都府,養蚕,20,百万円
173,1995000000,1995年,平成7年,26000,京都府,畜産計,11860,百万円
174,1995000000,1995年,平成7年,26000,京都府,肉用牛,1217,百万円
175,1995000000,1995年,平成7年,26000,京都府,乳用牛,4157,百万円
176,1995000000,1995年,平成7年,26000,京都府,豚,1996,百万円
177,1995000000,1995年,平成7年,26000,京都府,鶏,4382,百万円
178,1995000000,1995年,平成7年,26000,京都府,その他畜産物,108,百万円
179,1995000000,1995年,平成7年,26000,京都府,加工農産物,2931,百万円
180,1995000000,1995年,平成7年,26000,京都府,生産農業所得,34912,百万円
181,1996000000,1996年,平成8年,26000,京都府,農業粗生産額,80141,百万円
182,1996000000,1996年,平成8年,26000,京都府,耕種計,65325,百万円
183,1996000000,1996年,平成8年,26000,京都府,米,29642,百万円
184,1996000000,1996年,平成8年,26000,京都府,麦類,51,百万円
185,1996000000,1996年,平成8年,26000,京都府,雑穀・豆類,1555,百万円
186,1996000000,1996年,平成8年,26000,京都府,いも類,1159,百万円
187,1996000000,1996年,平成8年,26000,京都府,野菜,22961,百万円
188,1996000000,1996年,平成8年,26000,京都府,果実,1571,百万円
189,1996000000,1996年,平成8年,26000,京都府,花き,1960,百万円
190,1996000000,1996年,平成8年,26000,京都府,工芸農作物,4740,百万円
191,1996000000,1996年,平成8年,26000,京都府,種苗･苗木その他,1686,百万円
192,1996000000,1996年,平成8年,26000,京都府,養蚕,16,百万円
193,1996000000,1996年,平成8年,26000,京都府,畜産計,11290,百万円
194,1996000000,1996年,平成8年,26000,京都府,肉用牛,1328,百万円
195,1996000000,1996年,平成8年,26000,京都府,乳用牛,4138,百万円
196,1996000000,1996年,平成8年,26000,京都府,豚,1118,百万円
197,1996000000,1996年,平成8年,26000,京都府,鶏,4597,百万円
198,1996000000,1996年,平成8年,26000,京都府,その他畜産物,109,百万円
199,1996000000,1996年,平成8年,26000,京都府,加工農産物,3510,百万円
200,1996000000,1996年,平成8年,26000,京都府,生産農業所得,35649,百万円
201,1997000000,1997年,平成9年,26000,京都府,農業粗生産額,7866,千万円
202,1997000000,1997年,平成9年,26000,京都府,耕種計,6374,千万円
203,1997000000,1997年,平成9年,26000,京都府,米,2679,千万円
204,1997000000,1997年,平成9年,26000,京都府,麦類,5,千万円
205,1997000000,1997年,平成9年,26000,京都府,雑穀・豆類,113,千万円
206,1997000000,1997年,平成9年,26000,京都府,いも類,103,千万円
207,1997000000,1997年,平成9年,26000,京都府,野菜,2475,千万円
208,1997000000,1997年,平成9年,26000,京都府,果実,174,千万円
209,1997000000,1997年,平成9年,26000,京都府,花き,218,千万円
210,1997000000,1997年,平成9年,26000,京都府,工芸農作物,475,千万円
211,1997000000,1997年,平成9年,26000,京都府,種苗･苗木その他,132,千万円
212,1997000000,1997年,平成9年,26000,京都府,養蚕,2,千万円
213,1997000000,1997年,平成9年,26000,京都府,畜産計,1142,千万円
214,1997000000,1997年,平成9年,26000,京都府,肉用牛,147,千万円
215,1997000000,1997年,平成9年,26000,京都府,乳用牛,410,千万円
216,1997000000,1997年,平成9年,26000,京都府,豚,100,千万円
217,1997000000,1997年,平成9年,26000,京都府,鶏,473,千万円
218,1997000000,1997年,平成9年,26000,京都府,その他畜産物,12,千万円
219,1997000000,1997年,平成9年,26000,京都府,加工農産物,350,千万円
220,1997000000,1997年,平成9年,26000,京都府,生産農業所得,3503,千万円
