時間軸コード,西暦（暦年）,和暦（暦年）,地域コード,地域,項目,数値,単位
1992000000,1992年,平成4年,26000,京都府,野菜,24396 ,百万円
1992000000,1992年,平成4年,26000,京都府,果実,1807 ,百万円
1992000000,1992年,平成4年,26000,京都府,花き,1642 ,百万円
1992000000,1992年,平成4年,26000,京都府,工芸農作物,4085 ,百万円
1992000000,1992年,平成4年,26000,京都府,種苗･苗木その他,1744 ,百万円
1992000000,1992年,平成4年,26000,京都府,養蚕,75 ,百万円
1992000000,1992年,平成4年,26000,京都府,畜産計,13649 ,百万円
1992000000,1992年,平成4年,26000,京都府,肉用牛,1562 ,百万円
1992000000,1992年,平成4年,26000,京都府,乳用牛,4601 ,百万円
1992000000,1992年,平成4年,26000,京都府,豚,1850 ,百万円
1992000000,1992年,平成4年,26000,京都府,鶏,5358 ,百万円
1992000000,1992年,平成4年,26000,京都府,その他畜産物,278 ,百万円
1992000000,1992年,平成4年,26000,京都府,加工農産物,2896 ,百万円
1992000000,1992年,平成4年,26000,京都府,生産農業所得,37246 ,百万円
1993000000,1993年,平成5年,26000,京都府,農業粗生産額,85814 ,百万円
1993000000,1993年,平成5年,26000,京都府,耕種計,70586 ,百万円
1993000000,1993年,平成5年,26000,京都府,米,30967 ,百万円
1993000000,1993年,平成5年,26000,京都府,麦類,119 ,百万円
1993000000,1993年,平成5年,26000,京都府,雑穀・豆類,1648 ,百万円
1993000000,1993年,平成5年,26000,京都府,いも類,1147 ,百万円
1993000000,1993年,平成5年,26000,京都府,野菜,27755 ,百万円
1993000000,1993年,平成5年,26000,京都府,果実,1555 ,百万円
1993000000,1993年,平成5年,26000,京都府,花き,1606 ,百万円
1993000000,1993年,平成5年,26000,京都府,工芸農作物,4125 ,百万円
1993000000,1993年,平成5年,26000,京都府,種苗･苗木その他,1664 ,百万円
1993000000,1993年,平成5年,26000,京都府,養蚕,60 ,百万円
1993000000,1993年,平成5年,26000,京都府,畜産計,12347 ,百万円
1993000000,1993年,平成5年,26000,京都府,肉用牛,1363 ,百万円
1993000000,1993年,平成5年,26000,京都府,乳用牛,4320 ,百万円
1993000000,1993年,平成5年,26000,京都府,豚,1610 ,百万円
1993000000,1993年,平成5年,26000,京都府,鶏,4798 ,百万円
1993000000,1993年,平成5年,26000,京都府,その他畜産物,256 ,百万円
