時間軸コード,西暦（暦年）,和暦（暦年）,地域コード,地域,性別,項目,数値,単位
1990000202,1990年,平成2年,26203,綾部市,全体,その他の仕事だけに従事,935 ,人
1990000202,1990年,平成2年,26203,綾部市,全体,仕事に従事しなかった,1863 ,人
1990000202,1990年,平成2年,26203,綾部市,全体,農業就業人口,5574 ,人
1990000202,1990年,平成2年,26204,宇治市,全体,農家人口,2793 ,人
1990000202,1990年,平成2年,26204,宇治市,男,農家人口,1358 ,人
1990000202,1990年,平成2年,26204,宇治市,女,農家人口,1435 ,人
1990000202,1990年,平成2年,26204,宇治市,全体,16歳以上総数,2334 ,人
1990000202,1990年,平成2年,26204,宇治市,全体,自営農業だけに従事,767 ,人
1990000202,1990年,平成2年,26204,宇治市,全体,自営農業を主にその他の仕事に従事,65 ,人
1990000202,1990年,平成2年,26204,宇治市,全体,その他の仕事を主に自営農業に従事,590 ,人
1990000202,1990年,平成2年,26204,宇治市,全体,その他の仕事だけに従事,292 ,人
1990000202,1990年,平成2年,26204,宇治市,全体,仕事に従事しなかった,620 ,人
1990000202,1990年,平成2年,26204,宇治市,全体,農業就業人口,832 ,人
1990000202,1990年,平成2年,26205,宮津市,全体,農家人口,5825 ,人
1990000202,1990年,平成2年,26205,宮津市,男,農家人口,2812 ,人
1990000202,1990年,平成2年,26205,宮津市,女,農家人口,3013 ,人
1990000202,1990年,平成2年,26205,宮津市,全体,16歳以上総数,4858 ,人
1990000202,1990年,平成2年,26205,宮津市,全体,自営農業だけに従事,1800 ,人
1990000202,1990年,平成2年,26205,宮津市,全体,自営農業を主にその他の仕事に従事,165 ,人
1990000202,1990年,平成2年,26205,宮津市,全体,その他の仕事を主に自営農業に従事,1796 ,人
1990000202,1990年,平成2年,26205,宮津市,全体,その他の仕事だけに従事,469 ,人
1990000202,1990年,平成2年,26205,宮津市,全体,仕事に従事しなかった,628 ,人
1990000202,1990年,平成2年,26205,宮津市,全体,農業就業人口,1965 ,人
1990000202,1990年,平成2年,26206,亀岡市,全体,農家人口,18313 ,人
1990000202,1990年,平成2年,26206,亀岡市,男,農家人口,8842 ,人
1990000202,1990年,平成2年,26206,亀岡市,女,農家人口,9471 ,人
